horizon,mse,tcp_pos_error_m,cube_pos_error_m,joint_abs_error,n
1,0.1014910638332367,0.009727198630571365,0.009755323641002178,0.010249746963381767,1166
2,0.09340594708919525,0.016687195748090744,0.016697755083441734,0.01663968898355961,1131
3,0.09703929722309113,0.02425422891974449,0.023770269006490707,0.022515414282679558,1096
5,0.10999666154384613,0.0406145304441452,0.03855114430189133,0.03356533125042915,1026
10,0.1592293530702591,0.088885098695755,0.08371671289205551,0.06250203400850296,851
20,0.3593808710575104,0.26480865478515625,0.2376565784215927,0.1734987497329712,539
